"temperature","fraction","pct","sample_size","n","k","ss","ebt","ebt_stars","log_bf10","bf10","bf_strength"
0,0.05,"5%",10,10,4,0.6,0.75390625,"",-0.813530997916386,0.443290043290043,"none"
0,0.1,"10%",21,21,4,0.80952380952381,0.00719738006591798,"**",2.76803672040846,15.9273334852282,"strong"
0,0.2,"20%",43,43,6,0.86046511627907,1.63612412507065e-06,"**",10.3979212815183,32791.3907084645,"strong"
0,0.5,"50%",108,108,25,0.768518518518518,1.88293380190728e-08,"**",14.1343378577367,1375513.75285414,"strong"
0,0.8,"80%",172,172,34,0.802325581395349,4.60547398836657e-16,"**",31.1308085160619,33108412366356.8,"strong"
0,1,"100%",216,216,37,0.828703703703704,1.55603216536229e-23,"**",48.0585627336594,7.43992578587507e+20,"strong"
0.5,0.05,"5%",10,10,4,0.6,0.75390625,"",-0.813530997916386,0.443290043290043,"none"
0.5,0.1,"10%",21,21,4,0.80952380952381,0.00719738006591798,"**",2.76803672040846,15.9273334852282,"strong"
0.5,0.2,"20%",43,43,6,0.86046511627907,1.63612412507065e-06,"**",10.3979212815183,32791.3907084645,"strong"
0.5,0.5,"50%",108,108,23,0.787037037037037,1.51978821622999e-09,"**",16.6108762578542,16368613.6589643,"strong"
0.5,0.8,"80%",172,172,32,0.813953488372093,2.59602899949775e-17,"**",33.9840567857193,574233248350538,"strong"
0.5,1,"100%",216,216,35,0.837962962962963,6.25883554514164e-25,"**",51.2555797647151,1.81976563140997e+22,"strong"
1,0.05,"5%",10,10,4,0.6,0.75390625,"",-0.813530997916386,0.443290043290043,"none"
1,0.1,"10%",21,21,4,0.80952380952381,0.00719738006591798,"**",2.76803672040846,15.9273334852282,"strong"
1,0.2,"20%",43,43,6,0.86046511627907,1.63612412507065e-06,"**",10.3979212815183,32791.3907084645,"strong"
1,0.5,"50%",108,108,28,0.740740740740741,5.64869422331272e-07,"**",10.8004667622045,49043.6875344214,"strong"
1,0.8,"80%",172,172,39,0.773255813953488,3.29824026856582e-13,"**",24.618737159397,49179227174.954,"strong"
1,1,"100%",216,216,44,0.796296296296296,4.48330703806826e-19,"**",37.8522854768482,27481390923950592,"strong"
1.5,0.05,"5%",10,10,2,0.8,0.109375,"",0.726914043030763,2.06868686868687,"none"
1.5,0.1,"10%",21,21,2,0.904761904761905,0.00022125244140625,"**",6.11794080768307,453.929004329004,"strong"
1.5,0.2,"20%",43,43,2,0.953488372093023,2.15322870644742e-10,"**",19.2154165767424,221385609.136413,"strong"
1.5,0.5,"50%",108,108,18,0.833333333333333,1.06578353906926e-12,"**",23.7856841675716,21379196662.1974,"strong"
1.5,0.8,"80%",172,172,27,0.843023255813953,9.96249824858499e-21,"**",41.7976145768465,1420605093388681216,"strong"
1.5,1,"100%",216,216,33,0.847222222222222,2.2013979260304e-26,"**",54.5873640185277,5.09320286720509e+23,"strong"
2,0.05,"5%",10,10,4,0.6,0.75390625,"",-0.813530997916386,0.443290043290043,"none"
2,0.1,"10%",21,21,5,0.761904761904762,0.0266036987304688,"*",1.54426128878634,4.68450984859653,"moderate"
2,0.2,"20%",43,43,7,0.837209302325581,8.96303936315236e-06,"**",8.73291351792937,6203.77662052032,"strong"
2,0.5,"50%",108,105,29,0.723809523809524,5.05164560247551e-06,"**",8.68264025864217,5899.60252300471,"strong"
2,0.8,"80%",172,165,38,0.76969696969697,2.08156008727678e-12,"**",22.8255243282088,8184633978.5797,"strong"
2,1,"100%",216,200,45,0.775,2.39715595895252e-15,"**",29.3901594984619,5807431453732.58,"strong"
